Date_reported, Country_code, Country, WHO_region, New_cases, Cumulative_cases, New_deaths, Cumulative_deaths
30-01-2020,IN,India,SEARO,1,1,0,0
31-01-2020,IN,India,SEARO,0,1,0,0
01-02-2020,IN,India,SEARO,0,1,0,0
02-02-2020,IN,India,SEARO,1,2,0,0
03-02-2020,IN,India,SEARO,1,3,0,0
04-02-2020,IN,India,SEARO,0,3,0,0
05-02-2020,IN,India,SEARO,0,3,0,0
06-02-2020,IN,India,SEARO,0,3,0,0
07-02-2020,IN,India,SEARO,0,3,0,0
08-02-2020,IN,India,SEARO,0,3,0,0
09-02-2020,IN,India,SEARO,0,3,0,0
10-02-2020,IN,India,SEARO,0,3,0,0
11-02-2020,IN,India,SEARO,0,3,0,0
12-02-2020,IN,India,SEARO,0,3,0,0
13-02-2020,IN,India,SEARO,0,3,0,0
14-02-2020,IN,India,SEARO,0,3,0,0
15-02-2020,IN,India,SEARO,0,3,0,0
16-02-2020,IN,India,SEARO,0,3,0,0
17-02-2020,IN,India,SEARO,0,3,0,0
18-02-2020,IN,India,SEARO,0,3,0,0
19-02-2020,IN,India,SEARO,0,3,0,0
20-02-2020,IN,India,SEARO,0,3,0,0
21-02-2020,IN,India,SEARO,0,3,0,0
22-02-2020,IN,India,SEARO,0,3,0,0
23-02-2020,IN,India,SEARO,0,3,0,0
24-02-2020,IN,India,SEARO,0,3,0,0
25-02-2020,IN,India,SEARO,0,3,0,0
26-02-2020,IN,India,SEARO,0,3,0,0
27-02-2020,IN,India,SEARO,0,3,0,0
28-02-2020,IN,India,SEARO,0,3,0,0
29-02-2020,IN,India,SEARO,0,3,0,0
01-03-2020,IN,India,SEARO,0,3,0,0
02-03-2020,IN,India,SEARO,2,5,0,0
03-03-2020,IN,India,SEARO,0,5,0,0
04-03-2020,IN,India,SEARO,22,27,0,0
05-03-2020,IN,India,SEARO,2,29,0,0
06-03-2020,IN,India,SEARO,2,31,0,0
07-03-2020,IN,India,SEARO,3,34,0,0
08-03-2020,IN,India,SEARO,5,39,0,0
09-03-2020,IN,India,SEARO,5,44,0,0
10-03-2020,IN,India,SEARO,6,50,0,0
11-03-2020,IN,India,SEARO,10,60,0,0
12-03-2020,IN,India,SEARO,14,74,0,0
13-03-2020,IN,India,SEARO,7,81,1,1
14-03-2020,IN,India,SEARO,3,84,1,2
15-03-2020,IN,India,SEARO,23,107,0,2
16-03-2020,IN,India,SEARO,7,114,0,2
17-03-2020,IN,India,SEARO,23,137,1,3
18-03-2020,IN,India,SEARO,14,151,0,3
19-03-2020,IN,India,SEARO,44,195,1,4
20-03-2020,IN,India,SEARO,0,195,0,4
21-03-2020,IN,India,SEARO,88,283,0,4
22-03-2020,IN,India,SEARO,58,341,1,5
23-03-2020,IN,India,SEARO,93,434,4,9
24-03-2020,IN,India,SEARO,85,519,0,9
25-03-2020,IN,India,SEARO,87,606,1,10
26-03-2020,IN,India,SEARO,43,649,3,13
27-03-2020,IN,India,SEARO,75,724,4,17
28-03-2020,IN,India,SEARO,0,724,0,17
29-03-2020,IN,India,SEARO,255,979,8,25
30-03-2020,IN,India,SEARO,92,1071,4,29
31-03-2020,IN,India,SEARO,180,1251,3,32
01-04-2020,IN,India,SEARO,385,1636,6,38
02-04-2020,IN,India,SEARO,329,1965,12,50
03-04-2020,IN,India,SEARO,336,2301,6,56
04-04-2020,IN,India,SEARO,601,2902,12,68
05-04-2020,IN,India,SEARO,472,3374,9,77
06-04-2020,IN,India,SEARO,693,4067,32,109
07-04-2020,IN,India,SEARO,354,4421,5,114
08-04-2020,IN,India,SEARO,853,5274,35,149
09-04-2020,IN,India,SEARO,591,5865,20,169
10-04-2020,IN,India,SEARO,547,6412,30,199
11-04-2020,IN,India,SEARO,1035,7447,40,239
12-04-2020,IN,India,SEARO,909,8356,34,273
13-04-2020,IN,India,SEARO,796,9152,35,308
14-04-2020,IN,India,SEARO,1211,10363,31,339
15-04-2020,IN,India,SEARO,1076,11439,38,377
16-04-2020,IN,India,SEARO,941,12380,37,414
17-04-2020,IN,India,SEARO,1007,13387,23,437
18-04-2020,IN,India,SEARO,991,14378,43,480
